Metric,Value
Highway Distance (km),5.55
Service Road Distance (km),0.22
Total Distance (km),5.76
Total Time (hours),0.07
Total Time (minutes),4.1
Average Speed (km/h),23.31
Average Acceleration (m/s²),0.04
