Metric,Value
Highway Distance (km),0.0
Service Road Distance (km),5.84
Total Distance (km),5.84
Total Time (hours),0.08
Total Time (minutes),4.9
Average Speed (km/h),19.98
Average Acceleration (m/s²),-0.03
