timestamp,latitude,longitude,altitude,speed,acceleration,bearing
2023-11-29 04:05:52,12.900590039,77.466788003,691.6596,,,
2023-11-29 04:05:53,12.900577183,77.466781293,689.1231,1.6038942457732137,,206.9652210631051
2023-11-29 04:05:54,12.900549385,77.466747301,682.3093,4.809217578506999,3.2053233327337853,230.00480774166883
2023-11-29 04:05:55,12.90054374,77.466745026,685.3542,0.6743921624193168,-4.134825416087683,201.4468423437912
2023-11-29 04:05:56,12.900538773,77.466733496,683.8406,1.3663209181528277,0.691928755733511,246.15724128746177
2023-11-29 04:05:57,12.900528304,77.466714666,685.5898,2.349597719513744,0.9832768013609161,240.30081258478614
2023-11-29 04:05:58,12.900522775,77.466696617,684.4936,2.0506302474520286,-0.29896747206171526,252.55388959686258
2023-11-29 04:05:59,12.900519272,77.466703951,690.4833,0.8852229948599597,-1.165407252592069,116.10515682048452
2023-11-29 04:06:00,12.900521605,77.466673327,689.502,3.3294044380524745,2.444181443192515,274.4688578783485
2023-11-29 04:06:01,12.900521844,77.466650553,692.3434,2.468577593855022,-0.8608268441974527,270.61683484862937
2023-11-29 04:06:02,12.90046684,77.466607405,684.6603,7.699309010835295,5.230731416980273,217.4034095777587
2023-11-29 04:06:03,12.900402654,77.466591023,681.6383,7.354715147381583,-0.3445938634537118,193.9707039188666
2023-11-29 04:06:04,12.900502772,77.466550666,693.53,11.961143204565417,4.606428057183834,338.54914743895864
2023-11-29 04:06:05,12.900481643,77.466515073,691.2806,4.516965109766923,-7.444178094798494,238.65860802840905
2023-11-29 04:06:06,12.900457119,77.466488987,691.5721,3.928169174909833,-0.5887959348570897,226.0363118633822
2023-11-29 04:06:07,12.900407083,77.466456381,689.2782,6.591299981298333,2.6631308063884997,212.42383189930658
2023-11-29 04:06:08,12.900418378,77.466407466,693.3979,5.448544875812845,-1.1427551054854872,283.32713317159494
2023-11-29 04:06:09,12.900412182,77.466354935,692.1608,5.73527888324541,0.28673400743256483,263.1005543916239
2023-11-29 04:06:10,12.900358689,77.466315018,685.4679,7.355230378888742,1.619951495643332,216.0312185150545
2023-11-29 04:06:11,12.900354404,77.466287111,686.1706,3.0620907719006074,-4.2931396069881345,261.0482379018681
2023-11-29 04:06:12,12.90027613,77.46627758,684.6873,8.76476423515958,5.702673463258973,186.7688404856909
2023-11-29 04:06:13,12.900252988,77.466245284,685.3605,4.344572832506981,-4.420191402652599,233.67989636652808
2023-11-29 04:06:14,12.90023113,77.466227638,685.3426,3.09280542326733,-1.2517674092396511,218.20011444365508
2023-11-29 04:06:15,12.900212927,77.46618919,682.5997,4.632865057543589,1.5400596342762594,244.09398922533708
2023-11-29 04:06:16,12.900200951,77.46616133,683.9616,3.3002940591281975,-1.3325709984153917,246.20280564899696
2023-11-29 04:06:17,12.900181715,77.466133657,682.7587,3.683976731238457,0.3836826721102593,234.50669998331978
2023-11-29 04:06:18,12.900158941,77.466103265,682.2076,4.1550184329351145,0.4710417016966577,232.44891433680948
2023-11-29 04:06:19,12.900131288,77.466067972,682.5719,4.907970266454699,0.7529518335195844,231.2071872347986
2023-11-29 04:06:20,12.900107536,77.466040118,683.4671,4.011245835606241,-0.8967244308484581,228.82018856622068
2023-11-29 04:06:21,12.900085115,77.465997204,683.9516,5.277396319095058,1.2661504834888175,241.8090738989801
2023-11-29 04:06:22,12.900056207,77.465962804,684.1421,4.922875108647316,-0.354521210447742,229.23512741768883
2023-11-29 04:06:23,12.900024762,77.465919802,682.0186,5.826651919491386,0.9037768108440698,233.12355147853165
2023-11-29 04:06:24,12.900000813,77.465879537,681.8049,5.112572430355937,-0.7140794891354494,238.60909216812325
2023-11-29 04:06:25,12.899998636,77.465829348,683.6436,5.445293727680752,0.3327212973248148,267.4520733675058
2023-11-29 04:06:26,12.899951264,77.465790786,683.3407,6.724324264824601,1.279030537143849,218.43130903004075
2023-11-29 04:06:27,12.8999168,77.46573519,682.1629,7.141303993519422,0.41697972869482136,237.5456367667132
2023-11-29 04:06:28,12.899878387,77.465681741,682.9671,7.197646781693961,0.05634278817453886,233.59890641554998
2023-11-29 04:06:29,12.89984226,77.465628769,682.1815,7.007346438966337,-0.19030034272762375,235.02106143595188
2023-11-29 04:06:30,12.899803262,77.465572612,682.8388,7.473489610860403,0.46614317189406584,234.53293794568572
2023-11-29 04:06:31,12.899765313,77.465520013,683.3284,7.092889095658425,-0.38060051520197824,233.4927279451553
2023-11-29 04:06:32,12.899727346,77.465456837,684.1114,8.044385073862491,0.9514959782040666,238.34485443465599
2023-11-29 04:06:33,12.899682408,77.465386755,684.4194,9.092271237520455,1.0478861636579637,236.66220219683743
2023-11-29 04:06:34,12.899631727,77.465305882,683.774,10.420954122384325,1.3286828848638699,237.26308314407808
2023-11-29 04:06:35,12.89957604,77.465213232,683.2429,11.797806525217952,1.3768524028336273,238.34167546867133
2023-11-29 04:06:36,12.899514864,77.465121345,685.1265,12.060901939466435,0.2630954142484825,235.66648683447588
2023-11-29 04:06:37,12.899450407,77.465021756,684.4065,12.957141249392823,0.8962393099263881,236.4163669128171
2023-11-29 04:06:38,12.899386541,77.464920256,684.2063,13.094443637871688,0.1373023884788651,237.1572765177594
2023-11-29 04:06:39,12.899318666,77.464819887,684.2544,13.24056135249954,0.14611771462785228,235.2485442269674
2023-11-29 04:06:40,12.899246565,77.464713975,684.4713,14.002124775653302,0.7615634231537616,235.07003350918376
2023-11-29 04:06:41,12.899173219,77.464599106,683.6561,14.883913735648775,0.8817889599954736,236.77323717387844
